UserId,LoginCount,TotalTimeSpent,TotalSecondsSpent,ActivitiesCount,MeanLoginTime
5,43,2 days 06:38:44,110324.0,647.0,1 days 11:01:21.651162
7,0,0.0,0.0,0.0,
8,1,0 days 00:02:21,141.0,14.0,21 days 04:30:49
9,8,0 days 03:08:56,11336.0,301.0,5 days 09:01:00.625000
12,0,0,0.0,0.0,0
13,0,0,0.0,0.0,0
14,0,0,0.0,0.0,0
15,0,0.0,0.0,0.0,
16,4,0 days 00:21:26,1286.0,53.0,3 days 15:39:41
17,0,0,0.0,0.0,0
18,0,0,0.0,0.0,0
19,1,0 days 01:49:38,6578.0,63.0,13 days 15:45:13
20,0,0.0,0.0,0.0,
21,0,0,0.0,0.0,0
22,0,0,0.0,0.0,0
23,0,0,0.0,0.0,0
24,0,0.0,0.0,0.0,
25,24,23 days 04:57:59,449879.0,879.0,2 days 00:06:03.916666
26,0,0,0.0,0.0,0
27,0,0,0.0,0.0,0
28,0,0,0.0,0.0,0
29,0,0,0.0,0.0,0
30,0,0,0.0,0.0,0
31,0,0,0.0,0.0,0
32,2,0 days 00:25:33,1533.0,16.0,0 days 03:54:57
36,1,0 days 00:36:48,2208.0,31.0,0 days 02:44:58
37,0,0,0.0,0.0,0
38,3,0 days 03:39:41,13181.0,165.0,14 days 07:19:32.333333
39,3,0 days 03:08:50,11330.0,412.0,12 days 06:35:27.333333
40,18,0 days 06:07:55,22075.0,255.0,2 days 10:48:28.722222
41,0,0.0,0.0,0.0,
42,6,0 days 03:32:03,12723.0,101.0,3 days 08:25:40.666666
43,9,0 days 07:13:59,26039.0,574.0,3 days 17:43:45.444444
44,12,0 days 07:04:16,25456.0,499.0,3 days 21:36:01.083333
45,34,0 days 22:42:18,81738.0,1499.0,1 days 10:19:07.147058
46,1,0 days 00:00:00,0.0,1.0,1 days 07:37:22
47,2,0 days 00:02:58,178.0,18.0,21 days 13:41:27.500000
48,16,0 days 09:58:23,35903.0,1180.0,2 days 16:27:19
49,0,0,0.0,0.0,0
50,23,0 days 12:30:53,45053.0,296.0,2 days 00:26:16.043478
51,16,0 days 21:30:56,77456.0,499.0,1 days 13:32:08.875000
52,1,0 days 01:16:55,4615.0,24.0,0 days 05:33:15
53,0,0,0.0,0.0,0
54,5,0 days 02:00:28,7228.0,62.0,8 days 14:45:39.200000
55,1,0 days 00:32:03,1923.0,38.0,4 days 15:02:12
56,1,0 days 00:16:55,1015.0,35.0,23 days 00:33:31
57,39,0 days 05:14:45,18885.0,698.0,1 days 04:56:58.076923
58,5,0 days 04:23:16,15796.0,288.0,9 days 06:16:52.400000
